"id","tweet","sentiment"
"41","Users can access ChatGPT at chat.openai.com by creating a free account.","neutral"
"42","ChatGPT Plus subscription costs around 20 dollars per month for premium access.","neutral"
"43","ChatGPT can remember context within a conversation but not between sessions by default.","neutral"
"44","Schools and universities are debating policies around ChatGPT use in academics.","neutral"
"45","ChatGPT can assist with brainstorming and writing and coding and general QnA.","neutral"
"46","OpenAI has released multiple versions of ChatGPT with improvements over time.","neutral"
"47","ChatGPT does not have real-time internet access in its standard version.","neutral"
"48","Some companies like Microsoft have invested heavily in OpenAI and ChatGPT.","neutral"
"49","ChatGPT responses can vary each time you ask the same question.","neutral"
"50","Many researchers are studying the impact of ChatGPT on various industries.","neutral"
"51","ChatGPT is just another overhyped AI tool that cannot do basic reasoning tasks.","negative"
"52","I asked ChatGPT a simple math problem and it gave me completely wrong answer.","negative"
"53","ChatGPT keeps making up facts that do not exist. This is called hallucination and it is dangerous.","negative"
"54","Students using ChatGPT are not actually learning anything. It is ruining education.","negative"
"55","ChatGPT plagiarized my writing style and there is no proper attribution system.","negative"
"56","I do not trust ChatGPT with anything important because it makes too many errors.","negative"
"57","ChatGPT is going to kill jobs for writers and developers and many other professionals.","negative"
"58","The biases in ChatGPT responses are concerning and reflect poor training data.","negative"
"59","ChatGPT refused to answer my simple question saying it violated guidelines. Ridiculous!","negative"
"60","Using ChatGPT feels like cheating and it is making people intellectually lazy.","negative"
"61","ChatGPT gave me medical advice that was dangerously wrong. People should not rely on it.","negative"
"62","I am worried about my privacy when using ChatGPT. Where does my data go?","negative"
"63","ChatGPT is just copying content from the internet without paying original creators.","negative"
"64","The carbon footprint of running ChatGPT servers is enormous and damaging.","negative"
"65","ChatGPT crashes or gives errors during peak hours. Very unreliable service.","negative"
"66","ChatGPT cannot handle nuanced cultural contexts and often gives offensive answers.","negative"
"67","I feel like ChatGPT is making our generation unable to think independently.","negative"
"68","ChatGPT confidently stated wrong historical facts and misled many users.","negative"
"69","OpenAI should be more transparent about how ChatGPT is trained and what data it uses.","negative"
"70","ChatGPT is being used to spread misinformation and generate fake news at scale.","negative"
"71","My professor caught a student submitting ChatGPT-generated work. Academic dishonesty!","negative"
"72","ChatGPT answers are sometimes so generic and surface-level that they are useless.","negative"
"73","I am frustrated with ChatGPT constant warnings and refusals on harmless topics.","negative"
"74","ChatGPT has serious issues with consistency. It contradicts itself across responses.","negative"
"75","The hype around ChatGPT is overblown. It cannot replace real human expertise.","negative"
"76","Using ChatGPT to cheat in assignments is unethical and should be banned.","negative"
"77","ChatGPT has made some people overconfident in wrong information. Dangerous trend.","negative"
"78","I do not like how ChatGPT handles sensitive topics. The responses feel forced.","negative"
"79","ChatGPT is a tool for lazy people who do not want to do their own work.","negative"
"80","The environmental impact of ChatGPT training is something nobody talks about enough.","negative"
"81","ChatGPT is slowly becoming an essential tool for everyday tasks and research.","positive"
"82","Just used ChatGPT to draft a business proposal and my client was really impressed!","positive"
"83","ChatGPT helps non-native English speakers write professional content. Great equalizer!","positive"
"84","Amazed at how ChatGPT can explain machine learning algorithms so simply.","positive"
"85","ChatGPT saved my project deadline today. Could not have done it without the help.","positive"
"86","I appreciate that ChatGPT admits when it does not know something instead of guessing.","positive"
"87","Using ChatGPT to practice mock interviews has boosted my confidence so much!","positive"
"88","ChatGPT wrote unit tests for my entire codebase in minutes. Incredible time saver!","positive"
"89","The conversational ability of ChatGPT makes learning feel natural and enjoyable.","positive"
"90","ChatGPT suggested brilliant ideas for my startup that I had not even considered.","positive"
"91","Some schools are starting to teach students how to use AI tools like ChatGPT responsibly.","neutral"
"92","Researchers are studying how ChatGPT performs across different languages and cultures.","neutral"
"93","ChatGPT was among the top tech stories of 2023 in global media coverage.","neutral"
"94","Several countries have temporarily restricted access to ChatGPT citing safety concerns.","neutral"
"95","ChatGPT can be customized through system prompts for specific use cases by developers.","neutral"
"96","The debate around ChatGPT in academic settings continues to grow worldwide.","neutral"
"97","ChatGPT support for plugins allows it to browse the web and use external tools.","neutral"
"98","AI detectors are being developed to identify ChatGPT-generated text in submissions.","neutral"
"99","OpenAI regularly updates ChatGPT based on user feedback and safety evaluations.","neutral"
"100","ChatGPT has sparked global conversations about the future of AI and human work.","neutral"
